LCSC,Ref,Status,Detail
C37936,R30,OK,fit=0.02mm jlc_offset=0 db=0.0
C37936,R31,OK,fit=0.02mm jlc_offset=0 db=0.0
C149504,R1,OK,fit=0.09mm jlc_offset=0 db=0.0
C49678,C10,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C12,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C14,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C15,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C16,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C17,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C18,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C25,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C30,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C31,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C32,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C33,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C34,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C35,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C36,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C37,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C5,OK,fit=0.05mm jlc_offset=0 db=0.0
C49678,C8,OK,fit=0.05mm jlc_offset=0 db=0.0
C2836443,C40,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2836443,C40,ROT-DB-SUGGEST,"fit=0.03mm jlc_offset=0 db=180.0 -> add: CP_Elec_6.3x7.7,0"
C2836443,C41,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2836443,C41,ROT-DB-SUGGEST,"fit=0.03mm jlc_offset=0 db=180.0 -> add: CP_Elec_6.3x7.7,0"
C17414,R10,OK,fit=0.09mm jlc_offset=0 db=0.0
C17414,R21,OK,fit=0.09mm jlc_offset=0 db=0.0
C17414,R23,OK,fit=0.09mm jlc_offset=0 db=0.0
C17414,R25,OK,fit=0.09mm jlc_offset=0 db=0.0
C17414,R27,OK,fit=0.09mm jlc_offset=0 db=0.0
C17414,R6,OK,fit=0.09mm jlc_offset=0 db=0.0
C17414,R8,OK,fit=0.09mm jlc_offset=0 db=0.0
C79272,L1,PAD-GEOM,pad 1<->2 ours 4.50mm vs JLC 5.20mm (d0.70mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C79272,L1,OK,fit=0.35mm jlc_offset=0 db=0.0
C17513,R11,OK,fit=0.09mm jlc_offset=0 db=0.0
C17513,R3,OK,fit=0.09mm jlc_offset=0 db=0.0
C17513,R7,OK,fit=0.09mm jlc_offset=0 db=0.0
C17513,R9,OK,fit=0.09mm jlc_offset=0 db=0.0
C28323,C11,OK,fit=0.05mm jlc_offset=0 db=0.0
C1729,C26,OK,fit=0.05mm jlc_offset=0 db=0.0
C45783,C19,OK,fit=0.05mm jlc_offset=0 db=0.0
C45783,C3,OK,fit=0.05mm jlc_offset=0 db=0.0
C45783,C4,OK,fit=0.05mm jlc_offset=0 db=0.0
C45783,C7,OK,fit=0.05mm jlc_offset=0 db=0.0
C45783,C9,OK,fit=0.05mm jlc_offset=0 db=0.0
C20812,F1,PAD-GEOM,pad 1<->2 ours 4.27mm vs JLC 3.70mm (d0.57mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C20812,F1,OK,fit=0.29mm jlc_offset=0 db=0.0
C17673,R12,OK,fit=0.09mm jlc_offset=0 db=0.0
C17673,R13,OK,fit=0.09mm jlc_offset=0 db=0.0
C1779,C1,OK,fit=0.05mm jlc_offset=0 db=0.0
C1779,C13,OK,fit=0.05mm jlc_offset=0 db=0.0
C1779,C2,OK,fit=0.05mm jlc_offset=0 db=0.0
C1779,C6,OK,fit=0.05mm jlc_offset=0 db=0.0
C27834,R4,OK,fit=0.09mm jlc_offset=0 db=0.0
C27834,R5,OK,fit=0.09mm jlc_offset=0 db=0.0
C17819,R20,OK,fit=0.09mm jlc_offset=0 db=0.0
C17819,R22,OK,fit=0.09mm jlc_offset=0 db=0.0
C17819,R24,OK,fit=0.09mm jlc_offset=0 db=0.0
C17819,R26,OK,fit=0.09mm jlc_offset=0 db=0.0
C6186,U9,OK,fit=0.27mm jlc_offset=180 db=180.0
C400894,Q1,PAD-GEOM,pad 1<->2 ours 6.70mm vs JLC 7.31mm (d0.61mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C400894,Q1,MODEL-SELF,"JLC model bbox center off JLC's OWN pads by (-1.16,-0.90)mm in their frame - model-internal defect; expect the render to need an adjudicated board_dx/board_dy nudge, and distrust bbox MODEL-REG numbers for this part"
C400894,Q1,ROT-DB-SUGGEST,"fit=0.43mm jlc_offset=180 db=0.0 -> add: TO-252-2,180"
C2071056,U8,ROT-DB-SUGGEST,"fit=0.06mm jlc_offset=90 db=180.0 -> add: TSOT-23-6,90"
C2913204,U1,PAD-MISMATCH,best=none
C110926,U7,ROT-DB-SUGGEST,"fit=0.12mm jlc_offset=90 db=0.0 -> add: LGA-12_2x2mm_P0.5mm,90"
C91322,U3,ROT-DB-SUGGEST,"fit=0.00mm jlc_offset=90 db=0.0 -> add: UQFN-20_3x3mm_P0.4mm,90"
C91322,U4,ROT-DB-SUGGEST,"fit=0.00mm jlc_offset=90 db=0.0 -> add: UQFN-20_3x3mm_P0.4mm,90"
C91322,U5,ROT-DB-SUGGEST,"fit=0.00mm jlc_offset=90 db=0.0 -> add: UQFN-20_3x3mm_P0.4mm,90"
C91322,U6,ROT-DB-SUGGEST,"fit=0.00mm jlc_offset=90 db=0.0 -> add: UQFN-20_3x3mm_P0.4mm,90"
C10211,D3,PAD-GEOM,pad 1<->2 ours 4.30mm vs JLC 4.72mm (d0.42mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C10211,D3,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C10211,D3,OK,fit=0.21mm jlc_offset=0 db=0.0
C2150710,U2,ROT-DB-SUGGEST,"fit=0.04mm jlc_offset=90 db=270.0 -> add: QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm,90"
C318884,SW1,OK,fit=0.02mm jlc_offset=0 db=0.0
C318884,SW2,OK,fit=0.02mm jlc_offset=0 db=0.0
C165948,J2,ROT-DB-SUGGEST,"fit=0.00mm jlc_offset=0 db=180.0 -> add: USB_C_Receptacle_HRO_TYPE-C-31-M-12,0"
C2687116,D1,ROT-DB-SUGGEST,"fit=0.01mm jlc_offset=90 db=-90.0 -> add: SOT-23-6,90"
C2297,D2,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2297,D2,ROT-DB-SUGGEST,"fit=0.11mm jlc_offset=180 db=0.0 -> add: LED_0805_2012Metric,180"
C2297,D5,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2297,D5,ROT-DB-SUGGEST,"fit=0.11mm jlc_offset=180 db=0.0 -> add: LED_0805_2012Metric,180"
