LCSC,Ref,Status,Detail
C21189,R108,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C21189,R109,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C21189,R2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C21189,R208,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C21189,R209,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C5126242,R103,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C5126242,R203,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R107,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R207,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R32,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R33,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R410,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R416,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R420,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R426,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R430,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R436,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R440,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R446,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C111,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C211,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C22,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C32,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C33,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C34,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C35,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C38,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C39,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C412,OK,fit=0.07mm jlc_offset=0 db=0.0 src=name-DB
C14663,C414,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C415,OK,fit=0.07mm jlc_offset=0 db=0.0 src=name-DB
C14663,C42,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C422,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C424,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C425,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C432,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C434,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C435,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C44,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C442,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C444,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C445,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C45,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C24497,C2,OK,fit=0.11mm jlc_offset=0 db=0.0 src=name-DB
C24497,C3,OK,fit=0.11mm jlc_offset=0 db=0.0 src=name-DB
C14858,C103,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14858,C203,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C23742,C112,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C23742,C113,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C23742,C114,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C23742,C115,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C23742,C212,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C23742,C213,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C23742,C214,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C23742,C215,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C25804,R36,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25804,R37,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25804,R412,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25804,R413,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25804,R419,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25804,R422,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25804,R423,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25804,R429,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25804,R432,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25804,R433,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25804,R439,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25804,R442,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25804,R443,OK,fit=0.07mm jlc_offset=0 db=0.0 src=name-DB
C25804,R449,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C844901,RS1,OK,fit=0.11mm jlc_offset=0 db=0.0 src=name-DB
C844901,RS2,OK,fit=0.11mm jlc_offset=0 db=0.0 src=name-DB
C57112,C104,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C57112,C204,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C13585,C21,OK,fit=0.12mm jlc_offset=0 db=0.0 src=name-DB
C3844168,C107,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C3844168,C108,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C3844168,C109,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C3844168,C110,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C3844168,C207,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C3844168,C208,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C3844168,C209,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C3844168,C210,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C2930057,R5,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C22865,R101,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C22865,R201,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C22790,R31,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25810,R104,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25810,R204,OK,fit=0.07mm jlc_offset=0 db=0.0 src=name-DB
C1647,C30,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
