LCSC,Ref,Status,Detail
C21189,R3,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C21189,R9,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R13,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R15,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R17,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R19,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R21,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R22,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R23,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R7,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C844888,R14,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C1525,C12,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C14,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C15,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C16,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C20,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C21,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C2919856,C22,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2919856,C22,POLARITY-FIT-OK,marking channel agrees with the pad fit (both at pad 1; margins 1.03/0.27mm)
C2919856,C22,OK,fit=0.03mm jlc_offset=0 db=0.0 src=lcsc
C95204,R6,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C39232,C13,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C77102,C2,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C77102,C3,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C77102,C4,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C77102,C5,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C22797,R10,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C22880,R4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C136277,C23,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C136277,C23,POLARITY-FIT-OK,marking channel agrees with the pad fit (both at pad 1; margins 1.03/0.25mm)
C136277,C23,OK,fit=0.03mm jlc_offset=0 db=0.0 src=lcsc
C22935,R2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
