LCSC,Ref,Status,Detail
C207010,F1,OK,fit=0.04mm jlc_offset=0 db=0.0 src=name-DB
C1525,C4,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C5,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C6,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C60490,R3,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60490,R4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60490,R5,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60490,R6,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C19666,C1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C19666,C2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C19666,C3,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C105872,R1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C105872,R2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C429844,J10,PAD-MULTIPLICITY,"pad number(s) 2 appear a different number of times on the two footprints (ours {'2': 1} vs JLC {'2': 4}) — a NAMING convention, not a geometry defect; those numbers are fitted by CENTROID. Non-fatal, but PAD-GEOM readings on the affected numbers compare a merged centroid against a single lead"
C429844,J10,ADJUDICATED-PAD-GEOM,"Independent raw-footprint measurement against Amphenol drawing SMA6252A2-3GT50G-50 Rev C found all five hole centres identical to 0.000 mm: signal at (0,0) and grounds at (+/-2.54,+/-2.54) mm.  The reported 1.796 mm residual is created because the project preserves the manufacturer's distinct ground pins 2/3/4/5 while JLC collapses all four ground posts to pad number 2; the checker must compare one ground against the centroid of four.  A one-to-many pad alias is impossible and changing the project pin identities would reduce source verification.  Exact pad sizes also agree (signal 2.40 mm, grounds 2.80 mm).  JLC's only physical land delta is drill diameter: 1.60/1.80 mm versus the manufacturer's recommended 1.50/1.70 mm.  The manufacturer land is authoritative and retained, with explicit JLC assembly-DFM acceptance required before order.
"
C429844,J10,ADJUDICATED-PAD-MISMATCH,"Independent raw-footprint measurement against Amphenol drawing SMA6252A2-3GT50G-50 Rev C found all five hole centres identical to 0.000 mm: signal at (0,0) and grounds at (+/-2.54,+/-2.54) mm.  The reported 1.796 mm residual is created because the project preserves the manufacturer's distinct ground pins 2/3/4/5 while JLC collapses all four ground posts to pad number 2; the checker must compare one ground against the centroid of four.  A one-to-many pad alias is impossible and changing the project pin identities would reduce source verification.  Exact pad sizes also agree (signal 2.40 mm, grounds 2.80 mm).  JLC's only physical land delta is drill diameter: 1.60/1.80 mm versus the manufacturer's recommended 1.50/1.70 mm.  The manufacturer land is authoritative and retained, with explicit JLC assembly-DFM acceptance required before order.
"
C429844,J10,MOUNT-ANCHOR,failed whole-pattern fit replaced by explicit unique-pad datum: our pad 1 -> JLC pad 1 at 0deg
C429844,J10,MOUNT-FALLBACK,"best 1.80mm at 0deg, over 0.5mm — body mounted by the adjudicated unique-pad datum our 1 -> JLC 1 at 0deg, NOT by either mismatched pad-group centroid"
C429844,J2,PAD-MULTIPLICITY,"pad number(s) 2 appear a different number of times on the two footprints (ours {'2': 1} vs JLC {'2': 4}) — a NAMING convention, not a geometry defect; those numbers are fitted by CENTROID. Non-fatal, but PAD-GEOM readings on the affected numbers compare a merged centroid against a single lead"
C429844,J2,ADJUDICATED-PAD-GEOM,"Independent raw-footprint measurement against Amphenol drawing SMA6252A2-3GT50G-50 Rev C found all five hole centres identical to 0.000 mm: signal at (0,0) and grounds at (+/-2.54,+/-2.54) mm.  The reported 1.796 mm residual is created because the project preserves the manufacturer's distinct ground pins 2/3/4/5 while JLC collapses all four ground posts to pad number 2; the checker must compare one ground against the centroid of four.  A one-to-many pad alias is impossible and changing the project pin identities would reduce source verification.  Exact pad sizes also agree (signal 2.40 mm, grounds 2.80 mm).  JLC's only physical land delta is drill diameter: 1.60/1.80 mm versus the manufacturer's recommended 1.50/1.70 mm.  The manufacturer land is authoritative and retained, with explicit JLC assembly-DFM acceptance required before order.
"
C429844,J2,ADJUDICATED-PAD-MISMATCH,"Independent raw-footprint measurement against Amphenol drawing SMA6252A2-3GT50G-50 Rev C found all five hole centres identical to 0.000 mm: signal at (0,0) and grounds at (+/-2.54,+/-2.54) mm.  The reported 1.796 mm residual is created because the project preserves the manufacturer's distinct ground pins 2/3/4/5 while JLC collapses all four ground posts to pad number 2; the checker must compare one ground against the centroid of four.  A one-to-many pad alias is impossible and changing the project pin identities would reduce source verification.  Exact pad sizes also agree (signal 2.40 mm, grounds 2.80 mm).  JLC's only physical land delta is drill diameter: 1.60/1.80 mm versus the manufacturer's recommended 1.50/1.70 mm.  The manufacturer land is authoritative and retained, with explicit JLC assembly-DFM acceptance required before order.
"
C429844,J2,MOUNT-ANCHOR,failed whole-pattern fit replaced by explicit unique-pad datum: our pad 1 -> JLC pad 1 at 0deg
C429844,J2,MOUNT-FALLBACK,"best 1.80mm at 0deg, over 0.5mm — body mounted by the adjudicated unique-pad datum our 1 -> JLC 1 at 0deg, NOT by either mismatched pad-group centroid"
C429844,J3,PAD-MULTIPLICITY,"pad number(s) 2 appear a different number of times on the two footprints (ours {'2': 1} vs JLC {'2': 4}) — a NAMING convention, not a geometry defect; those numbers are fitted by CENTROID. Non-fatal, but PAD-GEOM readings on the affected numbers compare a merged centroid against a single lead"
C429844,J3,ADJUDICATED-PAD-GEOM,"Independent raw-footprint measurement against Amphenol drawing SMA6252A2-3GT50G-50 Rev C found all five hole centres identical to 0.000 mm: signal at (0,0) and grounds at (+/-2.54,+/-2.54) mm.  The reported 1.796 mm residual is created because the project preserves the manufacturer's distinct ground pins 2/3/4/5 while JLC collapses all four ground posts to pad number 2; the checker must compare one ground against the centroid of four.  A one-to-many pad alias is impossible and changing the project pin identities would reduce source verification.  Exact pad sizes also agree (signal 2.40 mm, grounds 2.80 mm).  JLC's only physical land delta is drill diameter: 1.60/1.80 mm versus the manufacturer's recommended 1.50/1.70 mm.  The manufacturer land is authoritative and retained, with explicit JLC assembly-DFM acceptance required before order.
"
C429844,J3,ADJUDICATED-PAD-MISMATCH,"Independent raw-footprint measurement against Amphenol drawing SMA6252A2-3GT50G-50 Rev C found all five hole centres identical to 0.000 mm: signal at (0,0) and grounds at (+/-2.54,+/-2.54) mm.  The reported 1.796 mm residual is created because the project preserves the manufacturer's distinct ground pins 2/3/4/5 while JLC collapses all four ground posts to pad number 2; the checker must compare one ground against the centroid of four.  A one-to-many pad alias is impossible and changing the project pin identities would reduce source verification.  Exact pad sizes also agree (signal 2.40 mm, grounds 2.80 mm).  JLC's only physical land delta is drill diameter: 1.60/1.80 mm versus the manufacturer's recommended 1.50/1.70 mm.  The manufacturer land is authoritative and retained, with explicit JLC assembly-DFM acceptance required before order.
"
C429844,J3,MOUNT-ANCHOR,failed whole-pattern fit replaced by explicit unique-pad datum: our pad 1 -> JLC pad 1 at 0deg
C429844,J3,MOUNT-FALLBACK,"best 1.80mm at 0deg, over 0.5mm — body mounted by the adjudicated unique-pad datum our 1 -> JLC 1 at 0deg, NOT by either mismatched pad-group centroid"
C429844,J4,PAD-MULTIPLICITY,"pad number(s) 2 appear a different number of times on the two footprints (ours {'2': 1} vs JLC {'2': 4}) — a NAMING convention, not a geometry defect; those numbers are fitted by CENTROID. Non-fatal, but PAD-GEOM readings on the affected numbers compare a merged centroid against a single lead"
