LCSC,Ref,Status,Detail
C1525,C_SW1,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C25076,R_S1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076,R_S2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076,R_S3,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076,R_S4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60490,R_PD1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60490,R_PD2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60490,R_PD3,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60490,R_PD4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C15849,C_SW2,OK,fit=0.07mm jlc_offset=0 db=0.0 src=name-DB
C25091,R_T1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25091,R_T2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C1779,C_BULK,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C137948,R_LED,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C3716677,FB_3V3,OK,fit=0.09mm jlc_offset=0 db=0.0 src=name-DB
C504007,J_ANT1,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C504007,J_ANT2,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C504007,J_ANT3,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C504007,J_ANT4,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C504007,J_ANT5,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C504007,J_ANT6,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C504007,J_ANT7,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C504007,J_ANT8,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C504007,J_RX1,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C504007,J_RX2,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C2286,LED_ST,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2286,LED_ST,POLARITY-FIT,"the pad-number fit says offset 180, but the MARKING channel disagrees by 180deg: our polarity marking sits at pad 1 (margin 0.68mm) while JLC's sits at pad 2 (margin 0.23mm) — the two libraries NUMBER this part's terminals oppositely, so the pad fit is 180deg wrong PHYSICALLY and offset 0 is what places the part correctly. A pad fit cannot see this: 2 collinear pads are symmetric. RESOLVE against the DATASHEET terminal drawing, put this LCSC on the order-preview human gate, and never let the fitted angle populate the rotation table unchallenged"
C2286,LED_ST,ROT-DB-SUGGEST,"fit=0.04mm jlc_offset=180 db=0.0 src=lcsc -> add LCSC row C2286,180 to jlc_lcsc_rotations.csv"
C5121458,U_SW,OK,fit=0.01mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_SW1,MODEL-REG-OK,body on courtyard (0.00mm)
C25076,R_S1,MODEL-REG-OK,body on courtyard (0.00mm)
C25076,R_S2,MODEL-REG-OK,body on courtyard (0.00mm)
C25076,R_S3,MODEL-REG-OK,body on courtyard (0.00mm)
C25076,R_S4,MODEL-REG-OK,body on courtyard (0.00mm)
C60490,R_PD1,MODEL-REG-OK,body on courtyard (0.00mm)
C60490,R_PD2,MODEL-REG-OK,body on courtyard (0.00mm)
C60490,R_PD3,MODEL-REG-OK,body on courtyard (0.00mm)
C60490,R_PD4,MODEL-REG-OK,body on courtyard (0.00mm)
C15849,C_SW2,MODEL-REG-OK,body on courtyard (0.00mm)
C25091,R_T1,MODEL-REG-OK,body on courtyard (0.00mm)
C25091,R_T2,MODEL-REG-OK,body on courtyard (0.00mm)
C1779,C_BULK,MODEL-REG-OK,body on courtyard (0.00mm)
C137948,R_LED,MODEL-REG-OK,body on courtyard (0.00mm)
C3716677,FB_3V3,MODEL-REG-OK,body on courtyard (0.00mm)
C504007,J_ANT1,MODEL-REG-OK,body on courtyard (0.00mm)
C504007,J_ANT2,MODEL-REG-OK,body on courtyard (0.00mm)
C504007,J_ANT3,MODEL-REG-OK,body on courtyard (0.00mm)
C504007,J_ANT4,MODEL-REG-OK,body on courtyard (0.00mm)
C504007,J_ANT5,MODEL-REG-OK,body on courtyard (0.00mm)
C504007,J_ANT6,MODEL-REG-OK,body on courtyard (0.00mm)
C504007,J_ANT7,MODEL-REG-OK,body on courtyard (0.00mm)
C504007,J_ANT8,MODEL-REG-OK,body on courtyard (0.00mm)
C504007,J_RX1,MODEL-REG-OK,body on courtyard (0.00mm)
C504007,J_RX2,MODEL-REG-OK,body on courtyard (0.00mm)
C2286,LED_ST,MODEL-REG-OK,body on courtyard (0.00mm)
C5121458,U_SW,MODEL-REG-OK,body on courtyard (0.00mm)
